Hannah Abbott,Hufflepuff
Katie Bell,Gryffindor
Cuthbert Binns,Gryffindor
Phineas Nigellus Black,Slytherin
Regulus Black,Slytherin
Sirius Black,Gryffindor
Amelia Bones,Hufflepuff
Susan Bones,Hufflepuff
Terry Boot,Ravenclaw
Lavender Brown,Gryffindor
Millicent Bulstrode,Slytherin
Cho Chang,Ravenclaw
Penelope Clearwater,Ravenclaw
Michael Corner,Ravenclaw
Crabbe,Slytherin
Vincent Crabbe,Slytherin
Colin Creevey,Gryffindor
Dennis Creevey,Gryffindor
Cedric Diggory,Hufflepuff
Aberforth Dumbledore,Gryffindor
Albus Dumbledore,Gryffindor
Marietta Edgecombe,Ravenclaw
Justin Finch-Fletchley,Hufflepuff
Seamus Finnigan,Gryffindor
Marcus Flint,Slytherin
Filius Flitwick,Ravenclaw
Anthony Goldstein,Ravenclaw
Gregory Goyle,Slytherin
Hermione Granger,Gryffindor
Godric Gryffindor,Gryffindor
Rubeus Hagrid,Gryffindor
Helga Hufflepuff,Hufflepuff
Angelina Johnson,Gryffindor
Lee Jordan,Gryffindor
Bellatrix Lestrange,Slytherin
Rabastan Lestrange,Slytherin
Rodolphus Lestrange,Slytherin
Gilderoy Lockhart,Ravenclaw
Alice Longbottom,Gryffindor
Frank Longbottom,Gryffindor
Augusta Longbottom,Gryffindor
Neville Longbottom,Gryffindor
Luna Lovegood,Ravenclaw
Xenophilius Lovegood,Ravenclaw
Remus Lupin,Gryffindor
Draco Malfoy,Slytherin
Lucius Malfoy,Slytherin
Narcissa Malfoy,Slytherin
Ernest Macmillan,Hufflepuff
Minerva McGonagall,Gryffindor
Theodore Nott,Slytherin
Garrick Ollivander,Ravenclaw
Pansy Parkinson,Slytherin
Padma Patil,Ravenclaw
Parvati Patil,Gryffindor
Peter Pettigrew,Gryffindor
Harry Potter,Gryffindor
James Potter I,Gryffindor
Lily J. Potter,Gryffindor
Quirinus Quirrell,Ravenclaw
Helena Ravenclaw,Ravenclaw
Rowena Ravenclaw,Ravenclaw
Tom Riddle,Slytherin
Demelza Robins,Gryffindor
Newton Scamander ,Hufflepuff
Horace Slughorn,Slytherin
Salazar Slytherin,Slytherin
Hepzibah Smith,Hufflepuff
Zacharias Smith,Hufflepuff
Severus Snape,Slytherin
Alicia Spinnet,Gryffindor
Pomona Sprout,Hufflepuff
Dean Thomas,Gryffindor
Andromeda Tonks,Slytherin
Nymphadora Tonks,Hufflepuff
Sybill Trelawney,Ravenclaw
Dolores Umbridge,Slytherin
Romilda Vane,Gryffindor
Arthur Weasley,Gryffindor
William Weasley,Gryffindor
Charles Weasley,Gryffindor
Fred Weasley,Gryffindor
George Weasley,Gryffindor
Ginevra Weasley,Gryffindor
Molly Weasley,Gryffindor
Percy Weasley,Gryffindor
Ronald Weasley,Gryffindor
Oliver Wood,Gryffindor
Blaise Zabini,Slytherin
Bloody Baron,Slytherin
Cadogan,Gryffindor
Fat Friar,Hufflepuff
Myrtle Warren,Ravenclaw
Nicholas de Mimsy-Porpington,Gryffindor
